budget_range,investorId,risk_preference,profileCompleted,category,preferred_stage,location,traction_preference,investor_id
50k-200k,I1,High,True,SaaS,Early Traction,Egypt,None,I1
10k-100k,I10,High,True,AI,"Idea,MVP,Early Traction",Bangladesh,None,I10
500k-2M,I100,Medium,True,E-commerce,"MVP,Early Traction,Growth",Nigeria,Users,I100
500k-2M,I101,Medium,True,LogisticsTech,Early Traction,India,Users,I101
50k-200k,I102,Low,True,FinTech,"Idea,MVP",Nigeria,Revenue,I102
10k-100k,I103,Medium,True,HealthTech,"MVP,Early Traction",USA,Users,I103
100k-500k,I104,Medium,True,SaaS,"Early Traction,Growth",UAE,Users,I104
2M-10M,I105,Medium,True,SaaS,Early Traction,India,Users,I105
500k-2M,I106,Medium,True,PropTech,"Early Traction,Growth",Pakistan,Users,I106
500k-2M,I107,Low,True,PropTech,"MVP,Early Traction",UAE,Revenue,I107
50k-200k,I108,Medium,True,EdTech,Scaling,Saudi Arabia,Users,I108
100k-500k,I109,Medium,True,LogisticsTech,"Growth,Scaling",UK,Users,I109
500k-2M,I11,High,True,LogisticsTech,"Growth,Scaling",Bangladesh,None,I11
10k-100k,I110,High,True,SaaS,Scaling,Bangladesh,None,I110
50k-200k,I111,Medium,True,AgriTech,"Idea,MVP",Pakistan,Users,I111
10k-100k,I112,High,True,CleanTech,Early Traction,UK,None,I112
50k-200k,I113,Low,True,AgriTech,"Growth,Scaling",India,Revenue,I113
100k-500k,I114,Medium,True,E-commerce,"MVP,Early Traction",India,Users,I114
500k-2M,I115,Medium,True,HealthTech,"Idea,MVP,Early Traction",Nigeria,Users,I115
2M-10M,I116,Low,True,SaaS,"MVP,Early Traction,Growth",Bangladesh,Revenue,I116
100k-500k,I117,Medium,True,CleanTech,"Idea,MVP",UAE,Users,I117
500k-2M,I118,Medium,True,HealthTech,"Growth,Scaling",Nigeria,Users,I118
2M-10M,I119,Low,True,HealthTech,"MVP,Early Traction",Pakistan,Revenue,I119
2M-10M,I12,High,True,SaaS,"Early Traction,Growth",Egypt,None,I12
100k-500k,I120,Medium,True,SaaS,Early Traction,Egypt,Users,I120
2M-10M,I121,Medium,True,FinTech,Scaling,Pakistan,Users,I121
2M-10M,I122,High,True,CleanTech,"Growth,Scaling",Nigeria,None,I122
100k-500k,I123,Medium,True,AgriTech,"Idea,MVP",India,Users,I123
2M-10M,I124,High,True,LogisticsTech,Early Traction,Egypt,None,I124
10k-100k,I125,Low,True,E-commerce,"Early Traction,Growth",Nigeria,Revenue,I125
50k-200k,I126,Low,True,FinTech,"Growth,Scaling",UAE,Revenue,I126
500k-2M,I127,High,True,SaaS,"Early Traction,Growth",Saudi Arabia,None,I127
100k-500k,I128,High,True,PropTech,"MVP,Early Traction",USA,None,I128
500k-2M,I129,Medium,True,SaaS,Scaling,Egypt,Users,I129
10k-100k,I13,Low,True,HealthTech,Scaling,UK,Revenue,I13
100k-500k,I130,Medium,True,EdTech,"Idea,MVP",Egypt,Users,I130
2M-10M,I131,Medium,True,PropTech,"MVP,Early Traction",Egypt,Users,I131
50k-200k,I132,High,True,CleanTech,Early Traction,UAE,None,I132
10k-100k,I133,High,True,PropTech,"MVP,Early Traction",India,None,I133
2M-10M,I134,Medium,True,HealthTech,"Idea,MVP,Early Traction",USA,Users,I134
500k-2M,I135,High,True,CleanTech,Idea,Turkey,None,I135
50k-200k,I136,Medium,True,AI,"Early Traction,Growth",UK,Users,I136
2M-10M,I137,Low,True,PropTech,"Growth,Scaling",Bangladesh,Revenue,I137
50k-200k,I138,High,True,EdTech,Idea,Pakistan,None,I138
100k-500k,I139,Medium,True,HealthTech,"Idea,MVP,Early Traction",Pakistan,Users,I139
50k-200k,I14,Medium,True,FinTech,"Growth,Scaling",Egypt,Users,I14
100k-500k,I140,High,True,HealthTech,"MVP,Early Traction",Nigeria,None,I140
50k-200k,I141,High,True,FinTech,Idea,UK,None,I141
100k-500k,I142,High,True,EdTech,"MVP,Early Traction",Bangladesh,None,I142
500k-2M,I143,Medium,True,FinTech,Idea,Saudi Arabia,Users,I143
100k-500k,I144,High,True,LogisticsTech,"Early Traction,Growth",Pakistan,None,I144
100k-500k,I145,Medium,True,SaaS,"Early Traction,Growth",Egypt,Users,I145
2M-10M,I146,Low,True,LogisticsTech,"Growth,Scaling",Pakistan,Revenue,I146
10k-100k,I147,Low,True,FinTech,Idea,Saudi Arabia,Revenue,I147
